x: 0.678748, y: 1.246018, inside_circle: no
x: 0.824038, y: -0.499232, inside_circle: yes
x: 0.472549, y: 1.246580, inside_circle: no
x: -0.896872, y: -0.117294, inside_circle: yes
x: -0.258183, y: -1.089753, inside_circle: no
x: 1.446063, y: -1.342073, inside_circle: no
x: 0.333569, y: 0.405104, inside_circle: yes
x: -0.711913, y: 0.202832, inside_circle: yes
x: -0.528964, y: 0.093135, inside_circle: yes
x: -0.666823, y: -0.358487, inside_circle: yes
x: 1.150991, y: -1.010840, inside_circle: no
x: -0.548268, y: -1.197737, inside_circle: no
x: 0.836513, y: -0.427695, inside_circle: yes
x: -0.647156, y: -0.107035, inside_circle: yes
x: -0.589032, y: -1.292946, inside_circle: no
x: -0.585063, y: -0.564119, inside_circle: yes
x: -0.092897, y: -0.229510, inside_circle: yes
x: 0.092391, y: 0.633225, inside_circle: yes
x: 1.152977, y: 0.113790, inside_circle: no
x: -0.657966, y: 0.932174, inside_circle: no
x: 0.909858, y: 1.474531, inside_circle: no
x: -0.599197, y: 0.562640, inside_circle: yes
x: 1.224768, y: 0.275838, inside_circle: no
x: 0.408513, y: -1.329433, inside_circle: no
x: 1.382332, y: -1.423503, inside_circle: no
x: -1.449950, y: 0.125181, inside_circle: no
x: 0.761596, y: -1.375294, inside_circle: no
x: 1.331853, y: 1.205056, inside_circle: no
x: -0.709917, y: -0.221591, inside_circle: yes
x: 1.323652, y: -0.480690, inside_circle: no
x: 1.300666, y: 1.343539, inside_circle: no
x: -0.403388, y: 0.543486, inside_circle: yes
x: -0.133005, y: -0.500823, inside_circle: yes
x: -1.251531, y: -1.087346, inside_circle: no
x: 1.219969, y: 0.011634, inside_circle: no
x: 0.502692, y: -0.547472, inside_circle: yes
x: -0.017119, y: 0.519998, inside_circle: yes
x: -0.767079, y: 0.795328, inside_circle: no
x: -1.071804, y: -1.444006, inside_circle: no
x: 0.318284, y: 1.059286, inside_circle: no
x: -1.153429, y: -0.877700, inside_circle: no
x: -1.039202, y: 0.606005, inside_circle: no
x: 0.423224, y: 0.263060, inside_circle: yes
x: -0.704771, y: -0.626632, inside_circle: yes
x: -1.465574, y: 0.277341, inside_circle: no
x: 0.783757, y: 0.475151, inside_circle: yes
x: -0.779492, y: 0.349933, inside_circle: yes
x: 0.125778, y: 0.247829, inside_circle: yes
x: -0.675345, y: -0.104840, inside_circle: yes
x: -0.067246, y: 1.136287, inside_circle: no
x: 0.689407, y: -0.380007, inside_circle: yes
x: 0.034717, y: -0.378887, inside_circle: yes
x: -1.350537, y: 1.111250, inside_circle: no
x: -1.005883, y: 0.203873, inside_circle: no
x: -1.143307, y: -1.353725, inside_circle: no
x: 0.701211, y: 0.982669, inside_circle: no
x: -0.237946, y: 1.475170, inside_circle: no
x: 1.230513, y: 0.040670, inside_circle: no
x: -1.123426, y: 0.739806, inside_circle: no
x: 0.734719, y: -0.361078, inside_circle: yes
x: 1.385398, y: -1.336865, inside_circle: no
x: -1.247672, y: 0.550091, inside_circle: no
x: -1.020043, y: 0.045341, inside_circle: no
x: 0.600238, y: -1.468476, inside_circle: no
x: 0.166325, y: -1.243930, inside_circle: no
x: -1.179189, y: 1.339815, inside_circle: no
x: -1.474276, y: 1.489746, inside_circle: no
x: 1.015317, y: -0.844202, inside_circle: no
x: -1.345071, y: -0.585144, inside_circle: no
x: -0.246512, y: -0.588544, inside_circle: yes
x: 0.551182, y: -0.677583, inside_circle: yes
x: 0.320700, y: -0.872270, inside_circle: yes
x: 0.478632, y: -0.797093, inside_circle: yes
x: -1.017280, y: -0.980575, inside_circle: no
x: -0.023478, y: 1.117783, inside_circle: no
x: -0.861603, y: -0.882712, inside_circle: no
x: -0.903710, y: 0.499053, inside_circle: no
x: 0.261315, y: -0.197918, inside_circle: yes
x: -0.762559, y: 0.469764, inside_circle: yes
x: -0.785440, y: 0.958135, inside_circle: no
x: -0.256275, y: -0.993882, inside_circle: no
x: -1.336459, y: -1.392711, inside_circle: no
x: 1.243512, y: 0.561553, inside_circle: no
x: -0.919829, y: 1.289727, inside_circle: no
x: 0.701596, y: -0.586080, inside_circle: yes
x: -1.258276, y: -0.565908, inside_circle: no
x: -0.835715, y: 0.227790, inside_circle: yes
x: -0.288142, y: 0.036961, inside_circle: yes
x: -0.442814, y: 0.148125, inside_circle: yes
x: -0.136770, y: -0.338142, inside_circle: yes
x: -1.482898, y: 0.899428, inside_circle: no
x: 1.146985, y: -0.770441, inside_circle: no
x: 1.282387, y: -0.953263, inside_circle: no
x: 1.401566, y: -1.089904, inside_circle: no
x: 0.690086, y: 1.158666, inside_circle: no
x: -1.106886, y: -1.052689, inside_circle: no
x: 0.083432, y: 0.342691, inside_circle: yes
x: 0.351389, y: 0.987665, inside_circle: no
x: 0.471550, y: -0.020163, inside_circle: yes
x: -0.312319, y: -1.411691, inside_circle: no
x: 1.339268, y: 1.116049, inside_circle: no
x: -0.969235, y: -0.061967, inside_circle: yes
x: -1.057090, y: 0.448618, inside_circle: no
x: 0.750422, y: 1.192301, inside_circle: no
x: -0.595979, y: -0.972959, inside_circle: no
x: 0.169861, y: -0.013032, inside_circle: yes
x: -1.450698, y: 1.095883, inside_circle: no
x: -0.311091, y: -0.073389, inside_circle: yes
x: 0.755089, y: -0.764900, inside_circle: no
x: 0.953234, y: -1.246976, inside_circle: no
x: 1.462011, y: 1.444131, inside_circle: no
x: -0.056060, y: 1.115351, inside_circle: no
x: 0.217154, y: -0.131986, inside_circle: yes
x: 1.037645, y: -0.644747, inside_circle: no
x: 0.006293, y: 0.357170, inside_circle: yes
x: 1.365306, y: -1.095873, inside_circle: no
x: -0.379765, y: 1.019397, inside_circle: no
x: 0.069227, y: 1.492796, inside_circle: no
x: 0.729164, y: 0.828443, inside_circle: no
x: 0.778534, y: 0.190414, inside_circle: yes
x: -0.579373, y: 0.581214, inside_circle: yes
x: -0.794399, y: 0.278420, inside_circle: yes
x: 0.085168, y: -0.339374, inside_circle: yes
x: -0.074617, y: 1.200513, inside_circle: no
x: -0.341044, y: 0.919853, inside_circle: yes
x: 0.766511, y: -0.248089, inside_circle: yes
x: -0.427137, y: 0.613837, inside_circle: yes
x: 1.162216, y: 0.584774, inside_circle: no
x: 0.691713, y: -0.755077, inside_circle: no
x: -0.908242, y: 0.301259, inside_circle: yes
x: -0.639111, y: -0.666357, inside_circle: yes
x: 0.745792, y: -1.172468, inside_circle: no
x: 0.978284, y: -0.213192, inside_circle: no
x: -1.078188, y: 1.010835, inside_circle: no
x: 0.689401, y: -0.770914, inside_circle: no
x: -1.031551, y: -0.835230, inside_circle: no
x: 0.748153, y: -0.720847, inside_circle: no
x: -0.473494, y: -0.898048, inside_circle: no
x: -0.860086, y: 0.215206, inside_circle: yes
x: 0.008150, y: -1.044925, inside_circle: no
x: -0.755082, y: 1.469755, inside_circle: no
x: -1.470958, y: -0.731939, inside_circle: no
x: 1.257469, y: 1.076043, inside_circle: no
x: 1.492364, y: 0.696812, inside_circle: no
x: -1.110525, y: 1.461323, inside_circle: no
x: 0.023939, y: -0.049355, inside_circle: yes
x: -0.239162, y: -1.042419, inside_circle: no
x: 1.312069, y: -0.695174, inside_circle: no
x: 0.308976, y: -1.305369, inside_circle: no
x: -0.646545, y: -0.509838, inside_circle: yes
x: -0.226111, y: 0.673323, inside_circle: yes
x: 0.532445, y: 0.520237, inside_circle: yes
x: -1.259728, y: 0.628427, inside_circle: no
x: 1.061994, y: -1.373819, inside_circle: no
x: 0.139676, y: -0.013470, inside_circle: yes
x: 0.593875, y: -0.918426, inside_circle: no
x: 0.400465, y: 1.399174, inside_circle: no
x: -1.219566, y: 0.609419, inside_circle: no
x: -0.506128, y: -0.382931, inside_circle: yes
x: 0.431611, y: -0.955390, inside_circle: no
x: -0.046623, y: 0.339205, inside_circle: yes
x: 0.600802, y: 0.392206, inside_circle: yes
x: 0.821689, y: -0.365857, inside_circle: yes
x: -1.166305, y: 0.953397, inside_circle: no
x: -0.696520, y: 0.531562, inside_circle: yes
x: -0.560432, y: -1.214609, inside_circle: no
x: -0.942247, y: 0.421582, inside_circle: no
x: -0.506175, y: 0.955437, inside_circle: no
x: 1.460549, y: -0.175778, inside_circle: no
x: -0.780503, y: 1.119553, inside_circle: no
x: -0.478937, y: 0.610004, inside_circle: yes
x: 1.071282, y: -0.724512, inside_circle: no
x: -1.454873, y: 0.229086, inside_circle: no
x: -0.819187, y: -1.096272, inside_circle: no
x: 0.497887, y: 1.195201, inside_circle: no
x: 0.885493, y: 0.930871, inside_circle: no
x: 0.727264, y: 1.131175, inside_circle: no
x: 1.409182, y: -0.989486, inside_circle: no
x: -0.923914, y: -0.500689, inside_circle: no
x: 0.004844, y: 0.526049, inside_circle: yes
x: -1.470348, y: 1.005966, inside_circle: no
x: -1.163795, y: -0.422903, inside_circle: no
x: 1.390123, y: -0.919127, inside_circle: no
x: 0.240990, y: 0.259980, inside_circle: yes
x: -1.249130, y: 0.834683, inside_circle: no
x: -0.667018, y: -0.788214, inside_circle: no
x: -0.010733, y: -0.270924, inside_circle: yes
x: -1.274966, y: -0.195542, inside_circle: no
x: -0.762350, y: -0.407168, inside_circle: yes
x: 1.149828, y: 1.377982, inside_circle: no
x: -1.159681, y: 0.472000, inside_circle: no
x: 0.623654, y: 0.929817, inside_circle: no
x: 0.630027, y: -0.940281, inside_circle: no
x: -1.374017, y: -0.723847, inside_circle: no
x: -0.360826, y: 1.397443, inside_circle: no
x: 1.196183, y: 0.761996, inside_circle: no
x: 1.447238, y: 0.820237, inside_circle: no
x: 0.281044, y: 1.404371, inside_circle: no
x: 0.688717, y: -0.440760, inside_circle: yes
x: 0.490727, y: 0.404589, inside_circle: yes
x: 1.469750, y: -1.408025, inside_circle: no
x: 1.181018, y: 0.163456, inside_circle: no
x: -1.122783, y: -1.181130, inside_circle: no
x: -0.053156, y: 0.941219, inside_circle: yes
x: 1.370768, y: -0.134467, inside_circle: no
x: 0.227299, y: -0.245241, inside_circle: yes
x: 1.373833, y: 1.405802, inside_circle: no
x: 0.055454, y: 0.447960, inside_circle: yes
x: 0.493219, y: -0.555962, inside_circle: yes
x: 1.377891, y: -0.432074, inside_circle: no
x: -1.096211, y: -1.060248, inside_circle: no
x: 1.338375, y: -1.471921, inside_circle: no
x: -1.166404, y: -1.108539, inside_circle: no
x: -0.111769, y: 1.388067, inside_circle: no
x: 0.443994, y: -0.494013, inside_circle: yes
x: -1.170863, y: -1.304265, inside_circle: no
x: 0.525639, y: -0.676160, inside_circle: yes
x: -0.614662, y: -1.101413, inside_circle: no
x: 1.348177, y: -1.269078, inside_circle: no
x: 0.340847, y: -1.149845, inside_circle: no
x: 0.153977, y: 1.341842, inside_circle: no
x: -1.067108, y: 1.032604, inside_circle: no
x: -0.408277, y: -0.979949, inside_circle: no
x: 1.094306, y: 0.814897, inside_circle: no
x: -0.630114, y: -0.101738, inside_circle: yes
x: -0.856305, y: -0.471562, inside_circle: yes
x: 0.417434, y: -0.932875, inside_circle: no
x: -0.690063, y: -0.558889, inside_circle: yes
x: -1.184201, y: 1.225528, inside_circle: no
x: -0.208952, y: -0.391359, inside_circle: yes
x: -1.310142, y: -0.529073, inside_circle: no
x: 0.296382, y: -0.929682, inside_circle: yes
x: 1.394167, y: 0.940452, inside_circle: no
x: -1.100991, y: 1.086834, inside_circle: no
x: -1.438423, y: -1.263750, inside_circle: no
x: 0.323624, y: -1.336098, inside_circle: no
x: -0.777765, y: -1.342243, inside_circle: no
x: -1.237768, y: 0.285749, inside_circle: no
x: -0.178630, y: 1.127237, inside_circle: no
x: -0.897199, y: 0.462171, inside_circle: no
x: -0.426213, y: 1.433629, inside_circle: no
x: -1.264973, y: 0.593028, inside_circle: no
x: -0.048867, y: 1.010803, inside_circle: no
x: 0.493059, y: 0.963315, inside_circle: no
x: 1.150135, y: -1.036412, inside_circle: no
x: 0.447913, y: 1.178810, inside_circle: no
x: 0.470114, y: -0.233988, inside_circle: yes
x: 0.056333, y: 0.390509, inside_circle: yes
x: 1.450283, y: 0.282642, inside_circle: no
x: -0.121576, y: -0.530268, inside_circle: yes
x: 0.256603, y: 0.216143, inside_circle: yes
x: 1.084826, y: 0.018380, inside_circle: no
x: 0.286414, y: 1.173891, inside_circle: no
x: 0.479744, y: -0.551714, inside_circle: yes
x: -0.346743, y: -0.261325, inside_circle: yes
x: -0.596187, y: -1.326428, inside_circle: no
x: 0.577481, y: 0.960330, inside_circle: no
x: -0.490342, y: 0.101541, inside_circle: yes
x: 0.621892, y: -0.061204, inside_circle: yes
x: 1.226060, y: -1.009286, inside_circle: no
x: -0.139626, y: -1.014687, inside_circle: no
x: -0.742260, y: -1.227878, inside_circle: no
x: -0.164409, y: -1.368966, inside_circle: no
x: -0.956538, y: -0.331017, inside_circle: no
x: 0.838524, y: -0.717931, inside_circle: no
x: 1.356160, y: 1.052577, inside_circle: no
x: -0.107601, y: -1.298453, inside_circle: no
x: 0.958485, y: -0.749567, inside_circle: no
x: -0.452130, y: -0.021821, inside_circle: yes
x: 0.333853, y: -0.340687, inside_circle: yes
x: 1.452962, y: -1.265995, inside_circle: no
x: -0.725789, y: -1.491395, inside_circle: no
x: -0.083284, y: -0.966196, inside_circle: yes
x: -1.421081, y: 1.146613, inside_circle: no
x: -0.833643, y: -0.295451, inside_circle: yes
x: 0.638311, y: -1.460434, inside_circle: no
x: -0.620411, y: -1.192375, inside_circle: no
x: 1.165335, y: 1.357811, inside_circle: no
x: -1.201252, y: -0.330957, inside_circle: no
x: 0.436652, y: 0.720172, inside_circle: yes
x: -0.977899, y: -0.115749, inside_circle: yes
x: 0.913300, y: -1.282297, inside_circle: no
x: 0.788284, y: -0.770417, inside_circle: no
x: -0.218183, y: -0.238996, inside_circle: yes
x: -0.859570, y: -0.757275, inside_circle: no
x: 0.335295, y: 0.856360, inside_circle: yes
x: -1.070475, y: -1.490284, inside_circle: no
x: 0.627811, y: -0.044305, inside_circle: yes
x: -0.623174, y: -0.940749, inside_circle: no
x: 1.459006, y: -0.601218, inside_circle: no
x: -0.097358, y: 0.433152, inside_circle: yes
x: 0.004460, y: -0.679421, inside_circle: yes
x: 1.227290, y: -0.302344, inside_circle: no
x: -0.706107, y: -1.149655, inside_circle: no
x: 1.261766, y: -1.332216, inside_circle: no
x: 1.483420, y: 0.259570, inside_circle: no
x: 1.129417, y: 0.115343, inside_circle: no
x: 0.302327, y: 0.430531, inside_circle: yes
x: -1.201582, y: -0.295325, inside_circle: no
x: -0.711268, y: 0.548891, inside_circle: yes
x: 0.351328, y: -0.897291, inside_circle: yes
x: -1.408990, y: -1.311768, inside_circle: no
x: 0.262336, y: 0.991232, inside_circle: no
x: -0.322586, y: -0.394576, inside_circle: yes
x: 0.365895, y: 1.102535, inside_circle: no
x: 1.317138, y: -1.209685, inside_circle: no
x: 0.598229, y: 1.451831, inside_circle: no
x: 0.803587, y: 1.238602, inside_circle: no
x: -0.101730, y: 1.004407, inside_circle: no
x: 0.489661, y: 1.288162, inside_circle: no
x: 1.119628, y: 0.821975, inside_circle: no
x: 1.177401, y: -1.454018, inside_circle: no
x: 0.596315, y: -0.822697, inside_circle: no
x: -0.710296, y: 0.485735, inside_circle: yes
x: -1.022630, y: 0.479077, inside_circle: no
x: -0.783586, y: 0.810594, inside_circle: no
x: 0.799464, y: 0.992871, inside_circle: no
x: 0.663723, y: 0.318506, inside_circle: yes
x: -0.527506, y: -1.101466, inside_circle: no
x: -1.140133, y: -1.284938, inside_circle: no
x: 0.114697, y: -0.507337, inside_circle: yes
x: -0.223102, y: 0.084514, inside_circle: yes
x: -0.307644, y: -1.466715, inside_circle: no
x: -0.355963, y: 1.221997, inside_circle: no
x: 1.399546, y: -0.247359, inside_circle: no
x: -0.380398, y: -0.341237, inside_circle: yes
x: 0.971369, y: 0.774889, inside_circle: no
x: -1.457664, y: 1.174429, inside_circle: no
x: 0.328101, y: -0.700148, inside_circle: yes
x: -0.752109, y: 0.803701, inside_circle: no
x: 0.768117, y: 1.252492, inside_circle: no
x: -0.375382, y: 0.891842, inside_circle: yes
x: -1.270880, y: 0.435410, inside_circle: no
x: 0.997646, y: -0.169725, inside_circle: no
x: -0.220336, y: -0.932685, inside_circle: yes
x: -1.360876, y: -0.000540, inside_circle: no
x: 1.307261, y: 1.212602, inside_circle: no
x: -1.477632, y: -1.294510, inside_circle: no
x: 1.172799, y: -0.244134, inside_circle: no
x: -0.950398, y: -0.184674, inside_circle: yes
x: 1.180593, y: 0.708943, inside_circle: no
x: -0.440153, y: 0.177296, inside_circle: yes
x: 0.126082, y: -0.885088, inside_circle: yes
x: -0.572236, y: -0.269805, inside_circle: yes
x: 0.778865, y: 1.267188, inside_circle: no
x: 0.334158, y: -1.108313, inside_circle: no
x: 0.992176, y: 0.263126, inside_circle: no
x: -0.602528, y: -0.632555, inside_circle: yes
x: -0.114622, y: 0.093453, inside_circle: yes
x: -1.390237, y: -0.398956, inside_circle: no
x: -0.337692, y: -0.500367, inside_circle: yes
x: -0.670913, y: -1.009864, inside_circle: no
x: -1.169270, y: 1.190106, inside_circle: no
x: -1.221029, y: -0.591891, inside_circle: no
x: -0.188196, y: -0.462987, inside_circle: yes
x: -1.144889, y: 0.205663, inside_circle: no
x: 1.077712, y: -0.551919, inside_circle: no
x: -0.370034, y: -0.584298, inside_circle: yes
x: -0.193993, y: 0.191205, inside_circle: yes
x: -0.907451, y: -0.321566, inside_circle: yes
x: -0.771144, y: 0.860522, inside_circle: no
x: 0.294204, y: -0.595112, inside_circle: yes
x: 1.410110, y: 0.442384, inside_circle: no
x: -0.336352, y: 0.157842, inside_circle: yes
x: -0.625378, y: -0.992453, inside_circle: no
x: -0.682924, y: -1.409071, inside_circle: no
x: -0.181633, y: 1.031073, inside_circle: no
x: -0.314843, y: -1.400212, inside_circle: no
x: -0.802236, y: 0.263801, inside_circle: yes
x: 1.311699, y: -0.635595, inside_circle: no
x: 1.391746, y: -1.215440, inside_circle: no
x: -1.397871, y: -0.335058, inside_circle: no
x: 1.494197, y: 0.254928, inside_circle: no
x: 0.639532, y: -0.931427, inside_circle: no
x: 0.532318, y: -1.251330, inside_circle: no
x: 1.340185, y: -0.089017, inside_circle: no
x: -0.848418, y: 1.210886, inside_circle: no
x: 1.497678, y: -0.977115, inside_circle: no
x: -0.916619, y: -0.307704, inside_circle: yes
x: 0.770069, y: -1.345693, inside_circle: no
x: 0.218100, y: 0.275018, inside_circle: yes
x: -0.993315, y: 1.439507, inside_circle: no
x: -0.488354, y: -0.061526, inside_circle: yes
x: -0.614998, y: 1.447624, inside_circle: no
x: 0.510994, y: 0.685113, inside_circle: yes
x: 0.802759, y: 0.400453, inside_circle: yes
x: -0.929150, y: 0.931561, inside_circle: no
x: -0.345468, y: 1.275052, inside_circle: no
x: 0.182238, y: -1.056804, inside_circle: no
x: 0.788000, y: -0.411707, inside_circle: yes
x: 0.553472, y: 0.105422, inside_circle: yes
x: -0.542664, y: -0.563265, inside_circle: yes
x: 0.855827, y: 0.236338, inside_circle: yes
x: 0.016709, y: -0.849571, inside_circle: yes
x: -0.936006, y: 0.084035, inside_circle: yes
x: 0.286897, y: 0.589904, inside_circle: yes
x: -0.844340, y: 0.692913, inside_circle: no
x: 1.265089, y: 0.206187, inside_circle: no
x: 0.304718, y: -1.120974, inside_circle: no
x: -0.020686, y: 0.537026, inside_circle: yes
x: 0.755615, y: -1.058532, inside_circle: no
x: -0.386710, y: 1.293436, inside_circle: no
x: 1.027251, y: 0.712709, inside_circle: no
x: 1.078657, y: -0.598004, inside_circle: no
x: 1.055815, y: 0.158650, inside_circle: no
x: 1.236810, y: 0.741212, inside_circle: no
x: -0.571477, y: -0.643129, inside_circle: yes
x: -1.092464, y: 1.425447, inside_circle: no
x: 0.519765, y: 0.613007, inside_circle: yes
x: -1.032040, y: -1.157085, inside_circle: no
x: -0.089070, y: 0.872895, inside_circle: yes
x: -0.476088, y: -1.470994, inside_circle: no
x: -0.814861, y: 1.426935, inside_circle: no
x: -0.569796, y: 0.780537, inside_circle: yes
x: 0.716867, y: -0.786908, inside_circle: no
x: 1.456104, y: -1.198305, inside_circle: no
x: 0.447389, y: 0.325277, inside_circle: yes
x: -1.055130, y: 0.275922, inside_circle: no
x: -0.497512, y: 0.716988, inside_circle: yes
x: -0.471626, y: -0.961594, inside_circle: no
x: -0.987565, y: 1.103502, inside_circle: no
x: 0.820838, y: -0.664334, inside_circle: no
x: -0.714260, y: 1.095291, inside_circle: no
x: -0.675527, y: -1.398496, inside_circle: no
x: 1.434642, y: -1.420078, inside_circle: no
x: 0.961252, y: -0.106496, inside_circle: yes
x: 0.719446, y: -0.164065, inside_circle: yes
x: -0.094335, y: -0.649205, inside_circle: yes
x: 1.261701, y: -0.333101, inside_circle: no
x: 0.886922, y: 0.168316, inside_circle: yes
x: -0.984371, y: -0.281093, inside_circle: no
x: 0.114875, y: -0.618920, inside_circle: yes
x: -0.644262, y: 0.081554, inside_circle: yes
x: 0.601398, y: 0.552267, inside_circle: yes
x: 1.381493, y: 1.291215, inside_circle: no
x: -0.435770, y: 0.946823, inside_circle: no
x: -0.452060, y: -0.242509, inside_circle: yes
x: 0.968430, y: -0.532965, inside_circle: no
x: 0.414706, y: 0.650602, inside_circle: yes
x: 0.033387, y: 0.173253, inside_circle: yes
x: -0.922393, y: -0.690875, inside_circle: no
x: 0.818700, y: -1.411967, inside_circle: no
x: 1.436359, y: -1.291252, inside_circle: no
x: -0.949966, y: -0.351100, inside_circle: no
x: 1.026075, y: -1.116688, inside_circle: no
x: -1.167564, y: 0.441676, inside_circle: no
x: -0.866452, y: 1.010017, inside_circle: no
x: -1.069733, y: -0.826155, inside_circle: no
x: -1.460159, y: 0.995248, inside_circle: no
x: 0.336066, y: 1.141125, inside_circle: no
x: -0.376175, y: -0.083989, inside_circle: yes
x: -0.079073, y: -0.827855, inside_circle: yes
x: -0.842833, y: -0.910358, inside_circle: no
x: -0.979759, y: 0.074892, inside_circle: yes
x: -0.605219, y: 0.080109, inside_circle: yes
x: -0.751593, y: 0.509537, inside_circle: yes
x: 0.205538, y: 1.146756, inside_circle: no
x: 1.028142, y: -0.060082, inside_circle: no
x: 0.949673, y: 1.095333, inside_circle: no
x: -1.349537, y: 0.182869, inside_circle: no
x: 0.440594, y: -0.155052, inside_circle: yes
x: 0.566586, y: 0.525516, inside_circle: yes
x: -0.420852, y: -1.406554, inside_circle: no
x: -0.985676, y: -1.330355, inside_circle: no
x: -1.484397, y: -0.209022, inside_circle: no
x: -0.906340, y: -1.173752, inside_circle: no
x: -0.089238, y: 1.132203, inside_circle: no
x: -0.175951, y: -0.780347, inside_circle: yes
x: -0.969581, y: 0.033391, inside_circle: yes
x: -1.040450, y: 0.239056, inside_circle: no
x: 0.060706, y: -1.374911, inside_circle: no
x: 1.154741, y: -0.672774, inside_circle: no
x: 1.447583, y: -0.088596, inside_circle: no
x: 0.505546, y: -0.723068, inside_circle: yes
x: -0.131184, y: -0.064740, inside_circle: yes
x: -0.984703, y: -0.435541, inside_circle: no
x: 0.176310, y: -0.515518, inside_circle: yes
x: 0.410619, y: -1.450163, inside_circle: no
x: 0.032478, y: -1.294047, inside_circle: no
x: -1.027312, y: 0.412492, inside_circle: no
x: -1.422131, y: -0.761325, inside_circle: no
x: -0.806575, y: 1.292489, inside_circle: no
x: 1.334181, y: -0.566481, inside_circle: no
x: 0.693111, y: -1.219690, inside_circle: no
x: 1.394127, y: 0.812570, inside_circle: no
x: -0.428641, y: 0.257862, inside_circle: yes
