Dataset,ID,IsNonDominated,Obj1,Obj2,Obj3,Obj4,Obj5
2D_100,89,0,59.0513,0.873245,0,0,0
2D_100,90,1,42.9745,98.4982,0,0,0
2D_100,91,0,61.8182,48.0088,0,0,0
2D_100,92,0,60.1775,11.8639,0,0,0
2D_100,93,0,26.3431,44.2137,0,0,0
2D_100,94,0,20.6405,41.3485,0,0,0
2D_100,95,0,71.6066,2.94452,0,0,0
2D_100,96,0,30.6665,58.4493,0,0,0
2D_100,97,0,95.3649,75.3273,0,0,0
2D_100,98,0,2.47853,58.2515,0,0,0
2D_100,99,0,61.4551,67.3576,0,0,0
2D_100,100,0,25.6619,3.89706,0,0,0
5D_1000,1,0,22.8181,9.39328,53.6892,38.9696,17.3809
5D_1000,2,0,80.6977,76.3821,44.5791,69.8325,55.499
5D_1000,3,0,93.5763,25.5057,90.8841,39.2049,22.0083
5D_1000,4,0,61.74,31.969,48.8183,36.6233,45.9441
5D_1000,5,0,61.4734,17.0679,82.9541,1.31285,89.9064
5D_1000,6,0,71.4437,80.6023,68.0966,23.1865,77.6538
5D_1000,7,0,67.4618,32.5755,17.8101,17.1528,30.1667
5D_1000,8,0,0.73126,10.2903,74.1489,60.7566,8.61522
5D_1000,9,0,54.9213,34.6807,10.4771,18.0077,81.918
5D_1000,10,0,1.72416,52.2625,12.9257,31.1312,25.3725
5D_1000,11,0,57.5236,85.4609,82.9583,20.9479,2.35609
5D_1000,12,0,9.3757,6.71783,10.3698,28.3645,43.8313
5D_1000,13,0,5.38756,62.815,35.9671,63.1306,11.3671
5D_1000,14,1,75.1298,7.23956,73.6965,99.8163,23.4589
5D_1000,15,0,38.4196,17.4573,78.3075,86.3797,15.873
5D_1000,16,0,3.90791,77.4137,74.7664,75.5239,76.3864
5D_1000,17,0,88.4846,48.4047,30.6146,83.7037,33.1816
5D_1000,18,0,19.4717,13.516,87.6892,82.1838,9.81159
5D_1000,19,1,82.3686,98.8878,51.5071,43.9902,28.461
5D_1000,20,0,73.9399,78.7679,37.5578,24.7776,88.2767
5D_1000,21,0,8.03003,69.8982,63.8349,78.3095,36.7597
5D_1000,22,0,84.2955,2.94291,40.3901,70.7838,94.5265
5D_1000,23,0,49.6796,36.2226,19.8841,30.992,64.3364
5D_1000,24,0,43.8505,43.9347,15.3689,2.38662,98.8551
5D_1000,25,0,58.4678,7.69572,27.8199,20.8211,75.6971
5D_1000,26,0,76.4813,55.8518,20.7522,5.39248,61.1749
5D_1000,27,0,64.6852,89.5544,2.54368,11.9285,66.9157
5D_1000,28,0,74.6664,66.6849,2.16603,31.3513,64.5605
5D_1000,29,0,84.6581,38.3031,54.2967,16.8858,35.4545
5D_1000,30,0,5.71073,15.6529,63.1266,77.878,47.853
5D_1000,31,0,34.9716,4.26189,64.4273,69.3562,11.3899
5D_1000,32,0,50.6161,22.0527,1.23779,0.761901,17.0641
5D_1000,33,0,23.6976,33.9815,80.1254,57.6164,20.1438
5D_1000,34,0,86.5346,34.799,95.7765,5.76603,36.2124
5D_1000,35,0,80.2759,71.8547,83.2173,90.1842,11.8098
5D_1000,36,1,3.37668,57.475,92.8231,53.5243,86.6059
5D_1000,37,1,86.6048,94.1943,26.2974,47.3699,98.1451
5D_1000,38,0,21.2115,24.2432,17.6009,59.7863,42.725
5D_1000,39,0,30.0086,39.9837,60.491,11.5023,72.715
5D_1000,40,0,10.2589,64.4616,90.8683,95.386,65.1657
5D_1000,41,0,78.7457,98.9086,25.3186,45.5072,64.9992
5D_1000,42,1,77.4002,49.57,99.7393,87.125,68.0913
5D_1000,43,0,50.7224,39.9844,18.1867,15.0384,11.741
5D_1000,44,1,96.5179,94.9211,57.6198,70.5635,6.68796
5D_1000,45,0,26.682,97.6106,16.2532,17.069,59.9632
5D_1000,46,0,67.236,64.0336,20.1396,30.3184,52.1549
5D_1000,47,0,5.98603,93.4755,89.6198,17.8214,5.12477
5D_1000,48,0,37.4583,13.7665,99.6415,51.9924,63.8179
5D_1000,49,0,34.8825,73.4773,35.3754,96.6444,38.9786
5D_1000,50,0,84.0845,73.3695,83.1813,31.7654,14.2616
5D_1000,51,0,48.0066,75.1507,47.515,0.263256,2.47237
5D_1000,52,0,25.5799,5.02303,71.263,77.4185,26.8283
5D_1000,53,0,88.8633,7.75692,16.2613,6.91643,1.86009
5D_1000,54,0,75.9286,36.368,77.3248,24.448,47.2047
5D_1000,55,0,88.5343,64.6069,30.6171,65.1711,94.0866
5D_1000,56,1,53.5179,92.4759,6.21703,81.0262,5.56735
5D_1000,57,1,90.747,32.6945,78.7165,65.9616,97.5188
5D_1000,58,0,38.1042,17.6035,80.3276,71.4756,30.5392
5D_1000,59,0,79.447,72.0874,81.8215,24.9563,10.5913
5D_1000,60,0,50.3295,12.4058,36.8902,84.2435,75.9318
5D_1000,61,0,82.5711,37.5631,91.2909,35.2975,30.9802
5D_1000,62,0,1.42347,9.51233,61.2339,55.4767,37.5566
5D_1000,63,0,27.066,58.8465,25.0888,34.7044,14.2063
5D_1000,64,0,15.6041,28.874,90.3763,35.8356,58.1713
5D_1000,65,0,2.07698,73.7488,67.8218,17.805,40.1891
5D_1000,66,0,86.3267,80.8447,3.20239,69.9784,18.6697
5D_1000,67,1,36.8906,99.3967,93.0943,63.2922,76.9009
5D_1000,68,0,41.1545,61.081,94.6569,46.1408,34.9452
5D_1000,69,0,25.7929,77.0066,89.3592,74.6697,3.35059
5D_1000,70,1,3.23834,77.2365,78.1123,99.4645,8.77401
5D_1000,71,0,81.4001,52.0312,84.1747,65.0916,22.7595
5D_1000,72,1,44.6713,61.0774,79.3836,88.2585,61.0173
5D_1000,73,0,25.2809,11.5037,50.4036,55.2341,20.9524
5D_1000,74,0,33.0711,43.6559,48.6236,87.4095,57.9452
5D_1000,75,0,88.8664,39.9352,42.2929,76.9653,14.7066
5D_1000,76,0,64.0621,67.9092,86.4272,52.546,8.26414
5D_1000,77,0,90.9668,0.341256,25.1259,5.55055,46.1492
5D_1000,78,1,97.1412,43.1063,70.7719,53.4539,62.5811
5D_1000,79,0,20.2819,57.2836,42.7792,56.9656,4.4865
5D_1000,80,0,55.5925,46.1068,42.0674,57.4811,36.8103
5D_1000,81,0,12.1699,46.8153,77.6591,68.2607,15.0821
5D_1000,82,1,98.4708,81.6269,97.8118,62.797,18.4713
5D_1000,83,1,58.6425,69.7416,30.5859,95.2355,95.5242
5D_1000,84,0,20.762,82.7288,61.0633,28.7729,94.6617
5D_1000,85,0,91.2206,43.246,21.4456,17.2669,33.3305
5D_1000,86,0,64.5632,4.01756,23.0364,22.4022,50.2762
5D_1000,87,0,26.1096,43.1235,37.7096,15.7376,85.0959
5D_1000,88,1,91.0462,36.0317,99.8223,47.8271,36.8815
5D_1000,89,0,87.1686,70.293,48.9788,62.689,55.5422
5D_1000,90,1,91.4412,65.8832,89.8743,87.9233,49.0717
5D_1000,91,0,51.4148,10.4445,87.3249,54.6971,57.1702
5D_1000,92,0,60.5393,37.3297,24.6169,59.9252,12.5337
5D_1000,93,0,62.5386,83.7373,73.529,18.3389,3.41979
5D_1000,94,0,48.4398,22.6464,61.2883,11.7196,99.2378
5D_1000,95,0,20.2278,87.2671,62.6181,79.3256,23.3798
5D_1000,96,0,1.29165,19.443,36.5585,37.9015,76.4282
5D_1000,97,0,23.8085,58.3585,44.2864,56.8831,41.7553
5D_1000,98,0,71.2942,18.6004,21.2207,63.0521,2.16529
5D_1000,99,0,1.21817,57.1259,93.8201,54.0563,34.3628
5D_1000,100,0,95.7752,29.8764,17.2651,74.4189,9.79023
5D_1000,101,1,94.1716,10.5477,84.2366,53.0833,67.1466
5D_1000,102,0,20.7813,96.7054,49.6694,25.6601,67.0252
5D_1000,103,0,71.1927,41.7021,34.9168,67.5819,7.1511
5D_1000,104,1,74.7976,86.7607,8.39967,91.565,44.2985
5D_1000,105,0,19.8725,1.48885,49.0648,7.28387,24.7793
5D_1000,106,0,72.3813,69.6976,29.9562,46.9466,41.8897
5D_1000,107,0,15.6487,48.4556,7.78719,50.8812,51.67
5D_1000,108,0,90.8393,73.2101,89.9529,85.7299,14.4638
5D_1000,109,0,52.9588,7.46796,6.89126,26.5816,69.2684
5D_1000,110,1,9.08668,60.7397,77.0366,98.7355,99.5808
5D_1000,111,1,71.0004,91.0804,91.8183,51.3342,38.3119
5D_1000,112,0,17.6221,59.0102,36.8031,39.041,29.1719
5D_1000,113,0,13.5859,98.9116,6.80769,6.33183,68.2114
5D_1000,114,1,92.1903,32.2932,97.4553,68.2055,27.8603
5D_1000,115,0,21.343,89.5561,73.6658,56.8775,2.05555
5D_1000,116,0,90.3646,1.14844,23.6023,39.3042,36.9479
5D_1000,117,0,20.631,63.2685,7.46149,35.5951,11.4098
5D_1000,118,0,1.6955,60.901,11.2244,88.2151,84.9519
5D_1000,119,0,2.43393,58.3131,40.3386,88.787,55.9717
5D_1000,120,0,34.6342,3.47676,56.6188,67.7412,3.96839
5D_1000,121,1,80.5125,94.1335,78.5984,64.4709,29.6273
5D_1000,122,0,74.591,25.4085,16.4989,10.9678,58.4981
5D_1000,123,1,99.1234,66.8647,42.3052,34.1398,61.2554
5D_1000,124,0,82.4471,57.2573,52.0039,31.9491,75.572
5D_1000,125,0,13.9855,60.3893,77.7442,53.2229,91.091
5D_1000,126,0,53.3073,33.1415,51.7584,11.1015,90.6572
5D_1000,127,1,99.4774,99.4478,37.7499,55.3077,86.1956
5D_1000,128,1,42.9843,61.0755,94.1005,42.0884,96.7139
5D_1000,129,0,43.7052,13.1959,20.8468,53.0514,18.8765
5D_1000,130,0,36.8747,37.1331,49.8362,40.7374,28.0897
5D_1000,131,0,27.5691,61.4184,22.4954,17.0368,36.1614
5D_1000,132,0,2.88026,28.2594,6.57569,99.376,57.0966
5D_1000,133,0,74.6028,42.465,46.4976,1.72295,78.1975
5D_1000,134,0,44.9497,35.3868,77.4741,62.4257,1.69237
5D_1000,135,0,68.755,18.8206,9.64436,94.8637,71.3207
5D_1000,136,0,26.0089,86.4375,34.0166,30.5071,85.6591
5D_1000,137,0,39.6413,79.2576,12.4675,76.2243,66.0016
5D_1000,138,0,80.7774,3.99253,79.0278,46.9959,54.3768
5D_1000,139,0,50.5823,9.41403,52.998,43.5779,58.9405
5D_1000,140,0,24.3198,78.724,59.5249,16.5145,53.1
5D_1000,141,0,56.7683,18.9036,10.4779,24.5787,22.7549
5D_1000,142,0,46.9071,20.9151,5.54485,6.43287,21.0101
5D_1000,143,0,74.6455,63.2773,32.1494,45.1392,44.9352
5D_1000,144,0,48.673,50.1426,70.9346,4.14244,34.4586
5D_1000,145,0,8.50503,40.0931,74.581,69.4063,82.8499
5D_1000,146,0,78.3982,77.4163,45.29,21.8794,11.2633
5D_1000,147,0,10.3058,18.434,56.5499,78.4585,3.22751
5D_1000,148,0,59.9078,40.2912,76.1989,67.2298,5.15758
5D_1000,149,0,3.85716,67.2199,11.054,97.7802,3.611
5D_1000,150,0,28.379,48.8834,25.369,26.0312,23.4349
5D_1000,151,1,81.7169,80.9573,70.3453,78.7613,88.6965
5D_1000,152,1,10.7021,66.3506,92.408,29.713,97.8217
5D_1000,153,1,76.0846,39.457,33.4027,84.3228,96.4608
5D_1000,154,0,28.643,8.77101,40.8409,40.1174,81.4329
5D_1000,155,0,1.26112,25.0799,51.4023,45.5128,91.7482
5D_1000,156,0,82.8713,5.44599,35.5773,39.4392,56.7537
5D_1000,157,0,31.0421,35.6947,79.8981,54.2402,57.925
5D_1000,158,0,78.0703,87.1205,69.1766,6.08722,62.4412
5D_1000,159,0,11.9493,67.8688,12.4572,83.6562,35.114
5D_1000,160,0,76.7596,3.14994,80.8022,58.1292,93.0479
5D_1000,161,0,32.592,99.0117,18.1315,33.8683,74.3903
5D_1000,162,1,50.6627,32.5622,87.6617,97.9415,62.8583
5D_1000,163,0,62.6782,70.1832,7.38164,13.9445,74.9612
5D_1000,164,0,9.93441,76.8098,74.453,0.297448,59.9336
5D_1000,165,0,9.3018,4.72473,75.3938,37.4159,48.0888
5D_1000,166,0,5.58259,45.1234,58.143,28.9619,90.8701
5D_1000,167,1,46.8706,8.21001,51.5422,98.7302,34.5761
5D_1000,168,1,85.1769,66.4077,36.5252,75.1515,97.0606
5D_1000,169,0,5.95047,79.2126,90.6877,65.6965,64.2419
5D_1000,170,0,22.7261,31.0009,48.6269,24.6728,32.7546
5D_1000,171,0,72.9398,54.2245,67.723,42.581,23.4914
5D_1000,172,0,17.2137,93.7909,61.5763,43.4868,69.1711
5D_1000,173,1,34.2195,78.7721,91.8905,79.7845,28.4223
5D_1000,174,0,65.3886,56.8879,40.4813,82.8632,5.20164
5D_1000,175,0,87.8909,28.3295,57.7333,26.0394,30.2697
5D_1000,176,0,73.8562,43.2946,98.3411,22.7501,14.6526
5D_1000,177,0,36.0586,34.4549,25.6234,78.1168,76.0139
5D_1000,178,0,13.5744,54.1758,64.5571,58.0579,87.8483
5D_1000,179,0,24.9479,61.7559,6.04094,56.8734,66.3838
5D_1000,180,0,83.582,82.6704,13.95,47.4533,62.2296
5D_1000,181,0,13.7011,84.8284,31.2063,35.195,83.767
5D_1000,182,0,57.6191,12.2011,75.9873,91.3361,46.2087
5D_1000,183,0,20.4637,88.4136,73.5491,77.267,56.7943
5D_1000,184,1,48.0516,81.9299,86.9294,88.2428,41.6833
5D_1000,185,1,72.0807,94.5345,46.1801,87.6337,0.0516189
5D_1000,186,0,91.3353,68.0514,61.3895,78.2088,2.06467
5D_1000,187,0,57.7413,43.7064,39.6252,8.37046,46.7312
5D_1000,188,0,58.53,51.9262,20.0528,69.0184,6.94203
5D_1000,189,0,59.2092,82.0058,4.0941,59.931,27.9933
5D_1000,190,0,24.8648,88.5601,35.2677,82.3361,60.9397
5D_1000,191,0,85.2371,50.7511,75.3339,36.2592,63.4977
5D_1000,192,1,53.4551,90.9423,98.2053,14.646,13.3995
5D_1000,193,1,34.5325,76.9732,93.2382,66.537,84.642
5D_1000,194,0,0.925594,9.59197,57.7729,8.27604,36.0998
5D_1000,195,0,54.6238,25.5838,43.2661,80.2919,25.42
5D_1000,196,0,8.26893,64.0432,37.2932,25.3437,35.3152
5D_1000,197,0,11.5934,4.43361,96.0389,34.6563,55.25
5D_1000,198,0,9.28844,44.5737,92.0557,30.4522,71.3156
5D_1000,199,0,63.592,70.7912,8.64647,74.8865,43.6359
5D_1000,200,0,6.3222,36.687,98.959,20.27,27.9042
5D_1000,201,0,71.7942,23.6457,90.6497,18.4809,49.6981
5D_1000,202,0,39.2548,74.6357,22.6748,37.2391,52.2062
5D_1000,203,0,17.9318,49.0096,78.1723,62.1475,89.8381
5D_1000,204,1,66.8001,77.0021,95.7126,8.35094,72.6444
5D_1000,205,0,26.2666,13.9942,30.4528,3.25156,68.9712
5D_1000,206,0,58.1294,52.6199,18.558,88.7638,88.9551
5D_1000,207,0,48.319,76.9978,61.4034,4.45724,69.8056
5D_1000,208,0,43.5053,25.5253,30.3499,34.0599,75.1595
5D_1000,209,0,58.2464,62.1696,9.65807,8.9758,65.6227
5D_1000,210,1,72.8758,67.178,70.983,82.0104,52.4963
5D_1000,211,0,17.9522,94.0417,38.0355,26.1251,0.887612
5D_1000,212,0,1.47383,59.9103,19.6668,2.42748,12.6228
5D_1000,213,1,2.18326,99.9359,73.0204,11.9852,67.7697
5D_1000,214,0,7.01035,52.4248,21.3393,44.6499,96.7907
5D_1000,215,1,20.2641,6.99456,71.0558,98.8753,86.4522
5D_1000,216,0,83.1908,1.65079,85.5234,17.424,47.9433
5D_1000,217,1,92.5675,29.6438,33.3469,90.249,72.3674
5D_1000,218,1,90.7309,48.2207,92.343,31.9539,54.6055
5D_1000,219,1,97.8816,5.15088,87.4036,32.5167,63.399
5D_1000,220,0,29.3963,12.2876,43.6037,34.6372,63.1621
5D_1000,221,0,48.5265,17.1445,9.55997,49.4218,27.4724
5D_1000,222,0,3.51785,76.9077,51.9054,31.8653,24.4398
5D_1000,223,0,41.4437,8.59632,88.2072,39.3781,86.3258
5D_1000,224,0,3.53675,73.8587,88.7257,19.0887,38.1994
5D_1000,225,0,56.6523,40.9267,42.726,47.4212,43.8865
5D_1000,226,0,60.9783,14.4932,59.0012,57.5323,68.5533
5D_1000,227,0,76.7446,66.4782,1.64368,51.1502,23.9361
5D_1000,228,0,47.8297,50.6594,8.41674,19.8371,47.7145
5D_1000,229,0,6.9491,52.4806,92.6699,6.93642,73.7941
5D_1000,230,0,84.0261,79.2329,55.2021,28.815,62.0383
5D_1000,231,0,40.7377,80.9202,45.0059,87.4685,86.3072
5D_1000,232,0,53.5601,86.0285,56.8296,57.8168,56.7441
5D_1000,233,0,8.83758,83.8444,67.5718,85.1383,88.0664
5D_1000,234,0,14.1687,75.4503,70.9655,33.795,57.2864
5D_1000,235,1,76.6476,46.363,88.6311,38.9753,89.5645
5D_1000,236,0,89.6756,46.473,18.926,45.9785,84.8811
5D_1000,237,0,26.0744,83.8832,3.26483,4.97657,71.9684
5D_1000,238,0,22.6318,41.0097,11.7636,42.9432,5.05916
5D_1000,239,0,8.00749,25.4143,39.5306,18.2552,85.2598
5D_1000,240,0,26.7062,76.404,89.9141,68.9674,24.7228
5D_1000,241,0,44.3522,68.8094,42.5701,19.5364,38.7941
5D_1000,242,0,67.221,55.1868,45.6436,33.0231,86.7768
5D_1000,243,0,35.5226,92.9423,67.6528,67.5989,6.52426
5D_1000,244,0,34.0285,92.8698,53.6443,6.3453,80.5997
5D_1000,245,1,84.952,83.0835,74.6416,57.5633,77.1287
5D_1000,246,0,84.8954,44.4754,35.3838,14.3719,61.5976
5D_1000,247,0,49.2986,90.5816,42.1026,20.7451,38.9315
5D_1000,248,0,25.9701,26.0299,53.9607,25.945,28.8556
5D_1000,249,1,96.2157,98.163,39.1928,61.1888,7.28302
5D_1000,250,0,16.5369,59.0439,88.885,16.7712,21.4488
5D_1000,251,0,92.9163,20.2054,73.3421,78.0388,92.7205
5D_1000,252,0,92.5099,18.5162,13.3493,94.1491,59.2835
5D_1000,253,0,67.767,50.8934,71.1858,48.0827,73.4954
5D_1000,254,0,21.7037,71.2524,77.8469,45.6984,17.316
5D_1000,255,1,63.2022,94.9311,93.219,68.1415,55.8749
5D_1000,256,0,15.9138,87.5247,63.6832,6.67023,73.5955
5D_1000,257,0,23.6227,27.5318,97.6931,53.9565,0.884831
5D_1000,258,0,24.9298,93.4113,10.762,36.3346,74.5833
5D_1000,259,0,94.5696,37.7078,50.957,69.0922,58.7683
5D_1000,260,0,70.9608,11.1562,47.9507,24.3514,88.4291
5D_1000,261,0,44.095,82.583,32.2211,33.8413,55.8521
5D_1000,262,0,22.2944,87.8169,0.417387,96.8717,72.4276
5D_1000,263,0,40.952,26.3733,50.2732,61.5196,0.275328
5D_1000,264,0,60.8827,56.9452,28.4002,43.5508,22.4121
5D_1000,265,0,50.4335,56.0129,47.9581,19.9881,5.45227
5D_1000,266,1,94.3151,50.8527,17.0005,96.4927,76.839
5D_1000,267,0,78.5699,5.18258,21.7291,11.2022,28.1178
5D_1000,268,0,82.9541,74.7663,23.1098,41.3264,92.4213
5D_1000,269,0,4.90632,31.6514,39.2352,41.041,66.226
5D_1000,270,0,37.7982,15.4645,57.7292,37.5282,1.01259
5D_1000,271,0,27.5618,63.5402,18.5056,17.4897,42.4828
5D_1000,272,0,27.3162,7.19461,70.6414,69.2328,34.6187
5D_1000,273,0,12.0222,27.6073,31.8443,38.9087,44.8127
5D_1000,274,0,81.128,30.1222,38.9822,57.1739,54.2224
5D_1000,275,1,94.2011,47.4315,33.2141,97.9938,27.2646
5D_1000,276,1,98.8186,79.4283,38.6929,9.71927,23.0833
5D_1000,277,0,58.1283,27.4003,41.4186,38.5332,50.2665
5D_1000,278,0,12.9983,3.93495,2.1587,1.90541,22.9376
5D_1000,279,0,80.5762,62.4788,55.4933,58.0662,83.5689
5D_1000,280,0,18.4883,42.4963,46.548,14.6303,88.8905
5D_1000,281,0,7.32763,39.2878,56.6385,10.0734,83.3298
5D_1000,282,0,12.9709,94.7022,65.2933,59.0129,16.6945
5D_1000,283,0,76.7932,34.8107,42.3469,78.152,59.1097
5D_1000,284,1,13.1693,70.517,96.3332,71.5488,75.9534
5D_1000,285,0,38.8367,81.3941,10.7247,58.1326,8.87409
5D_1000,286,0,42.6886,17.7329,92.6282,35.867,17.0221
5D_1000,287,0,79.6107,70.3619,89.9323,75.9896,13.5257
5D_1000,288,0,31.7565,14.7569,30.2321,80.9742,47.405
5D_1000,289,0,5.17082,73.3898,24.0725,74.7851,1.42728
5D_1000,290,0,79.6608,67.9064,88.3635,70.8445,55.2751
5D_1000,291,0,81.3447,12.7733,22.1197,65.5362,21.348
5D_1000,292,0,77.1207,29.1628,11.9944,69.828,30.9546
5D_1000,293,0,79.6489,60.8282,39.12,25.7908,95.7944
5D_1000,294,0,73.4447,8.73063,92.1068,8.85781,44.139
5D_1000,295,0,57.9109,84.0191,60.3312,47.1317,24.7927
5D_1000,296,0,19.9911,91.4726,1.2042,1.08348,25.994
5D_1000,297,0,9.19659,38.0639,4.69018,10.2192,7.08592
5D_1000,298,0,58.5748,68.3928,20.8542,60.8537,52.5162
5D_1000,299,1,85.7089,98.746,1.09511,73.8456,53.2543
5D_1000,300,0,88.1785,12.2062,5.83674,3.34381,18.142
5D_1000,301,0,3.49068,1.71683,19.0214,34.7803,76.8306
5D_1000,302,0,42.0484,48.5363,94.1054,43.5046,68.9165
5D_1000,303,0,70.5623,94.1436,34.1564,35.1464,17.0638
5D_1000,304,0,52.681,41.0655,75.589,61.9096,33.6719
5D_1000,305,0,18.6551,39.1694,24.4078,54.9761,6.71686
5D_1000,306,0,39.3726,18.4995,93.2493,67.5058,67.6915
5D_1000,307,0,10.0983,18.7057,90.689,34.4471,2.54166
5D_1000,308,0,36.5187,54.1561,68.7578,46.6728,93.2685
5D_1000,309,0,4.8597,64.3684,31.4912,58.2838,6.22265
5D_1000,310,0,4.35799,69.8323,68.122,97.5963,9.45063
5D_1000,311,0,62.5176,90.4834,31.2793,14.912,87.3892
5D_1000,312,0,75.8687,36.4387,14.6669,14.4309,95.1193
5D_1000,313,0,10.6817,3.98851,80.3749,83.9837,71.9873
5D_1000,314,0,10.6154,15.9153,37.5787,21.0932,1.43706
5D_1000,315,1,3.20181,17.0472,75.7978,0.610699,99.7016
5D_1000,316,0,11.1039,91.0268,20.5446,65.8091,48.0155
5D_1000,317,1,94.0118,56.7911,48.4867,82.0456,55.0865
5D_1000,318,0,43.1582,39.7722,29.5497,61.1269,3.45832
5D_1000,319,0,22.7171,35.6195,87.3394,33.2034,69.84
5D_1000,320,0,60.0447,72.2197,68.3514,77.6697,69.6554
5D_1000,321,0,38.292,30.8905,16.5526,51.875,82.8272
5D_1000,322,1,4.56671,91.2544,6.69706,74.9487,98.43
5D_1000,323,0,96.9298,31.8093,39.7367,10.7497,1.65068
5D_1000,324,0,72.0642,9.53642,17.017,50.9463,95.3332
5D_1000,325,1,97.4246,45.5915,54.2844,78.8405,45.9395
5D_1000,326,0,3.75796,60.3176,70.7838,83.8056,67.8647
5D_1000,327,1,74.1113,64.5009,91.8023,12.0068,59.1201
5D_1000,328,0,38.1152,34.0017,42.4744,57.8868,50.9645
5D_1000,329,1,87.4636,91.5679,21.9087,92.4577,7.23805
5D_1000,330,0,45.9705,69.0692,43.069,74.0915,39.8051
5D_1000,331,0,50.7821,65.535,18.8031,56.7082,62.2796
